Reference, Value, Footprint, Datasheet
"J1","EXPANSION ORIC","Connector_IDC:IDC-Header_2x17_P2.54mm_Vertical","~"
"J3","SLOT2","Connector_PinSocket_2.54mm:PinSocket_2x17_P2.54mm_Vertical","~"
"J5","REPORT BUS","Connector_IDC:IDC-Header_2x17_P2.54mm_Vertical","~"
"H1","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"H2","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"H3","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"C1","47µF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm_Horizontal","~"
"C2","47µF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm_Horizontal","~"
"SW1","SW_Push","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx39-2LFS","~"
"J6","5V","Connector_BarrelJack:BarrelJack_Horizontal","~"
"JP1","Jumper_3_Open","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
"H4","MountingHole","MountingHole:MountingHole_3.2mm_M3","~"
"J2","SLOT1","Connector_PinSocket_2.54mm:PinSocket_2x17_P2.54mm_Vertical","~"
"J4","SLOT3","Connector_PinSocket_2.54mm:PinSocket_2x17_P2.54mm_Vertical","~"
"J7","SLOT4","Connector_PinSocket_2.54mm:PinSocket_2x17_P2.54mm_Vertical","~"
"C3","47µF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm_Horizontal","~"
"C4","47µF","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm_Horizontal","~"
